영상제목,채널명,링크
"[자막뉴스] ""피해자분 혹시 △△아파트 사세요?"".. '돌려차기범' 감방동기의 섬뜩한 질문 (2023.06.06/MBC뉴스)",MBCNEWS,https://www.youtube.com/watch?v=ap4bn29zcC8&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
처음 본 사람이 갑자기 인사하더니 때리기 시작한다?,엠빅뉴스,https://www.youtube.com/watch?v=iMcdAgbdn3Q&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
부산 돌려차기남 신상 탈탈 턴 유튜버와 누리꾼들...사회 정의 구현일까? 사적 복수일까? / 비디오머그,비디오머그 - VIDEOMUG,https://www.youtube.com/watch?v=7dXeNFJS7d8&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
범죄자 신상공개 실효성 논란에…윤 대통령 “강력범죄자 공개 확대” 지시 [9시 뉴스] / KBS  2023.06.12.,KBS News,https://www.youtube.com/watch?v=ytFn0RXpBmk&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
"‘부산 돌려차기’ 男, 2심 징역 20년…피해자 “출소하면 50대, 나 죽으란 얘기” | 김진의 돌직구 쇼 1272 회",채널A 김진의 돌직구쇼,https://www.youtube.com/watch?v=Tzq_Onb3ARQ&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
"""언젠가 출소할 거니까 무섭고.."" '돌려차기' 피해자의 '절규' [뉴스.zip/MBC뉴스]",MBCNEWS,https://www.youtube.com/watch?v=TT0ZF4OzIPE&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
#shorts 부산돌려차기,역사지존,https://www.youtube.com/watch?v=5lJImTQvWsU&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
"＂출소하면 50대인데, 저 죽으란 얘기…＂ '부산 돌려차기' 피해자의 눈물 | 이슈픽 zip",MBN News,https://www.youtube.com/watch?v=Bs7s-xvNKuE&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
김명준의 뉴스파이터-'돌려차기' 사건 가해자 20년 선고에…눈물 쏟은 피해자,MBN News,https://www.youtube.com/watch?v=NN1pRWtKj6Q&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
"""가장 무거운 징벌""…돌려차기 가해자 '30일 독방' 갇힌다 / SBS / 실시간 e뉴스",SBS 뉴스,https://www.youtube.com/watch?v=RluwtmdsSDk&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
"'돌려차기' 사이코패스였다…""강호순과 똑같은 27점"" / SBS 8뉴스",SBS 뉴스,https://www.youtube.com/watch?v=Efmkjp62f8s&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
‘부산 돌려차기’ 항소심서 징역 20년…“성범죄가 범행 목적” / KBS  2023.06.12.,KBS News,https://www.youtube.com/watch?v=3jEhGuNq1tk&pp=ygUT67aA7IKwIOuPjOugpOywqOq4sA%3D%3D
